cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,log_age,water_cement_ratio,scm_fraction,compressive_strength
-1.160845780322769,0.8573947498344986,0.9824741960164535,-0.3142309167623508,1.4819914296010808,-0.2574569450730306,-0.6475046626845401,-0.27567314810142585,0.11653070543144965,1.106502624221595,1.4956454385662727,27.681082448
1.3086335900146946,-0.6024886837640265,1.2326253592504717,-0.17814755829321888,0.388661548142663,-1.9269471440954373,-0.27313015720516415,-0.27567314810142585,0.11653070543144965,-1.023589686305088,-0.19953338643028232,62.052839999999996
-0.07712210939886398,-0.8555811624020687,1.0661184912228283,-1.0472040406547087,0.6267794057609074,1.0178657279044818,0.06664868440153071,-0.6893133878049272,-1.6841691058654633,-0.5255840560793076,-0.012206819007142503,23.80071152
-0.29178258066369167,0.2603265843202081,0.3570962879314077,0.5726571780881974,0.30817100472241127,-1.761651084786288,0.6041170338521208,-0.27567314810142585,0.11653070543144965,0.06610625517523716,0.4643584860733167,33.398217439999996
-1.0651929998892002,-0.3698736874885169,1.1114583895589942,-1.101168131082122,0.7827298336376449,1.3637159443051639,0.2970805169820708,-0.6893133878049272,-1.6841691058654633,0.5881452998842305,0.8861772757271139,7.3980774799999995
-0.9488836851596664,-0.8555811624020687,1.7799873733019078,-0.5727892978537006,0.23438800658718054,1.04329589087512,0.07035536267360319,-0.27567314810142585,0.11653070543144965,0.5802651038154727,0.8057764156004202,27.77209328
-1.1962038120005472,1.2542897731532465,-0.8311217374301791,0.539809470871511,0.49262850006048786,0.9390322226955052,-0.9316833302101394,-0.27567314810142585,0.11653070543144965,1.5568905294593198,1.1027612966987121,18.287661424
-0.9800545815071814,0.6376644615623802,1.0231237600419814,-0.08711248400697226,-0.43468963559366114,0.42915745513420467,-0.3126680587739437,0.18760392036649576,0.7307819861799167,0.8160245671227938,1.2926806713723709,48.587373719999995
-0.6639723877982001,0.7699628026686295,-0.8311217374301791,1.0184474903146632,-1.0333380522817828,-0.0018838072181149548,-0.27313015720516415,0.7501546463632577,1.156012467003498,0.6578053241479203,0.43076594883181285,39.700028079999996
-1.6874943574180983,0.90456198448977,-0.8311217374301791,0.47880658604052034,-1.0333380522817828,-1.100466847549691,2.0991439369215783,-0.6893133878049272,-1.6841691058654633,3.5295226178783325,1.375249500118272,4.565020596
-1.3832291900856377,-0.8555811624020687,1.7595062468121225,-0.07491190704077468,0.6435482689734597,-0.1595508176360724,0.4051919665842009,-0.27567314810142585,0.11653070543144965,1.8342089439035367,1.1467390984875658,13.293786756
